DATE,RBUSBIS
01/05/2014,83.1
01/06/2014,83.38
01/07/2014,83.14
01/08/2014,83.61
01/09/2014,84.63
01/10/2014,85.4
01/11/2014,86.34
01/12/2014,87.77
01/01/2015,89.45
01/02/2015,90.55
01/03/2015,92.44
01/04/2015,91.93
01/05/2015,91.52
01/06/2015,92.4
01/07/2015,93.87
01/08/2015,95.19
01/09/2015,95.55
01/10/2015,94.62
01/11/2015,95.95
01/12/2015,96.42
01/01/2016,98.74
01/02/2016,97.36
01/03/2016,95.73
01/04/2016,94.5
01/05/2016,95.82
01/06/2016,96.44
01/07/2016,96.85
01/08/2016,95.99
01/09/2016,96.61
01/10/2016,97.39
01/11/2016,99.66
01/12/2016,101.16
01/01/2017,101.35
01/02/2017,99.84
01/03/2017,99.29
01/04/2017,98.55
01/05/2017,98.14
01/06/2017,96.85
01/07/2017,95.47
01/08/2017,94.27
01/09/2017,93.58
01/10/2017,95.04
01/11/2017,95.02
01/12/2017,94.38
01/01/2018,92.7
01/02/2018,91.69
01/03/2018,92.18
01/04/2018,92.43
01/05/2018,95.3
01/06/2018,96.91
01/07/2018,97.16
01/08/2018,97.63
01/09/2018,97.62
01/10/2018,98.16
01/11/2018,99.04
01/12/2018,98.55
01/01/2019,97.4
01/02/2019,97.11
01/03/2019,97.69
01/04/2019,98.02
01/05/2019,99.12
01/06/2019,98.76
01/07/2019,98.38
01/08/2019,99.98
01/09/2019,100.11
01/10/2019,99.42
01/11/2019,98.89
01/12/2019,98.12
01/01/2020,97.65
01/02/2020,98.76
01/03/2020,102.42
01/04/2020,104.41
01/05/2020,103.91
01/06/2020,101.77
01/07/2020,101.24
01/08/2020,99.94
01/09/2020,99.25
01/10/2020,98.56
01/11/2020,97.02
01/12/2020,95.06
01/01/2021,94.62
01/02/2021,94.99
01/03/2021,96.76
01/04/2021,96.82
01/05/2021,96.22
01/06/2021,97.19
01/07/2021,98.56
01/08/2021,98.78
01/09/2021,98.68
01/10/2021,99.5
01/11/2021,100.31
01/12/2021,101.02
01/01/2022,100.89
01/02/2022,100.82
01/03/2022,102.44
01/04/2022,103.16
01/05/2022,106.18
01/06/2022,107.42
01/07/2022,109.2
01/08/2022,108.69
01/09/2022,111.26
01/10/2022,112.99
01/11/2022,110.19
01/12/2022,107.44
01/01/2023,105.7
01/02/2023,106.2
01/03/2023,106.83
01/04/2023,105.96
01/05/2023,106.76
01/06/2023,107.25
01/07/2023,106.24
01/08/2023,107.71
01/09/2023,109.13
01/10/2023,110.46
01/11/2023,108.43
01/12/2023,106.66
01/01/2024,107.43
01/02/2024,108.06
01/03/2024,108.39
01/04/2024,109.7
01/05/2024,109.58
