Date, Open, Close, High, Low,Change %
22/07/2024,5544.54,5564.41,5570.36,5529.04,0.36
19/07/2024,5543.37,5505,5557.5,5497.04,-0.69
18/07/2024,5608.56,5544.59,5614.05,5522.81,-1.14
17/07/2024,5610.07,5588.27,5622.49,5584.81,-0.39
16/07/2024,5644.09,5667.2,5669.67,5639.02,0.41
15/07/2024,5638.16,5631.22,5666.94,5614.75,-0.12
12/07/2024,5590.76,5615.35,5655.56,5590.44,0.44
11/07/2024,5635.21,5584.54,5642.45,5576.53,-0.9
10/07/2024,5591.26,5633.91,5635.39,5586.44,0.76
09/07/2024,5584.24,5576.98,5590.75,5574.57,-0.13
08/07/2024,5572.75,5572.85,5583.11,5562.51,0
05/07/2024,5537.91,5567.19,5570.33,5531.63,0.53
03/07/2024,5507.44,5537.02,5539.27,5507.42,0.54
02/07/2024,5461.84,5509.01,5509.69,5458.43,0.86
01/07/2024,5471.08,5475.09,5479.55,5446.53,0.07
28/06/2024,5488.48,5460.48,5523.64,5451.12,-0.51
27/06/2024,5473.59,5482.87,5490.81,5467.54,0.17
26/06/2024,5460.71,5477.9,5483.14,5451.87,0.31
25/06/2024,5460.73,5469.3,5472.88,5446.56,0.16
24/06/2024,5459.58,5447.87,5490.66,5447.59,-0.21
21/06/2024,5466.77,5464.62,5478.31,5452.03,-0.04
20/06/2024,5499.99,5473.17,5505.53,5455.56,-0.49
18/06/2024,5476.15,5487.03,5490.38,5471.32,0.2
17/06/2024,5431.11,5473.23,5488.5,5420.4,0.78
14/06/2024,5424.08,5431.6,5432.39,5403.75,0.14
13/06/2024,5441.93,5433.74,5441.93,5402.51,-0.15
12/06/2024,5409.13,5421.03,5447.25,5409.13,0.22
11/06/2024,5353,5375.32,5375.95,5327.25,0.42
10/06/2024,5341.22,5360.79,5365.79,5331.52,0.37
07/06/2024,5343.81,5346.99,5375.08,5331.33,0.06
06/06/2024,5357.8,5352.96,5362.35,5335.36,-0.09
05/06/2024,5314.48,5354.03,5354.16,5297.64,0.74
04/06/2024,5278.24,5291.34,5298.8,5257.63,0.25
03/06/2024,5297.15,5283.4,5302.11,5234.32,-0.26
31/05/2024,5243.21,5277.51,5280.33,5191.68,0.65
30/05/2024,5259.77,5235.48,5260.21,5222.1,-0.46
29/05/2024,5278.73,5266.95,5282.27,5262.7,-0.22
28/05/2024,5315.91,5306.04,5315.91,5280.89,-0.19
24/05/2024,5281.45,5304.72,5311.65,5278.39,0.44
23/05/2024,5340.26,5267.84,5341.88,5256.93,-1.36
22/05/2024,5319.28,5307.01,5323.18,5286.01,-0.23
21/05/2024,5298.69,5321.41,5324.32,5297.87,0.43
20/05/2024,5305.35,5308.13,5325.32,5302.4,0.05
17/05/2024,5303.1,5303.27,5305.45,5283.59,0
16/05/2024,5310.07,5297.1,5325.49,5296.19,-0.24
15/05/2024,5263.26,5308.15,5311.76,5263.26,0.85
14/05/2024,5221.1,5246.68,5250.37,5217.98,0.49
13/05/2024,5233.08,5221.42,5237.26,5211.16,-0.22
10/05/2024,5225.49,5222.68,5239.66,5209.68,-0.05
09/05/2024,5189.03,5214.08,5215.3,5180.41,0.48
08/05/2024,5168.98,5187.67,5191.95,5165.86,0.36
07/05/2024,5187.2,5187.7,5200.23,5178.96,0.01
06/05/2024,5142.42,5180.74,5181,5142.42,0.75
03/05/2024,5122.78,5127.79,5139.12,5101.22,0.1
02/05/2024,5049.32,5064.2,5073.21,5011.05,0.29
01/05/2024,5029.03,5018.39,5096.12,5013.45,-0.21
30/04/2024,5103.78,5035.69,5110.83,5035.31,-1.33
29/04/2024,5114.13,5116.17,5123.49,5088.65,0.04
26/04/2024,5084.65,5099.96,5114.62,5073.14,0.3
25/04/2024,5019.88,5048.42,5057.75,4990.58,0.57
24/04/2024,5084.86,5071.63,5089.48,5047.02,-0.26
23/04/2024,5028.85,5070.55,5076.12,5027.96,0.83
22/04/2024,4987.33,5010.6,5038.84,4969.4,0.47
19/04/2024,5005.44,4967.23,5019.02,4953.56,-0.76
18/04/2024,5031.52,5011.12,5056.66,5001.89,-0.41
17/04/2024,5068.97,5022.21,5077.96,5007.25,-0.92
16/04/2024,5064.59,5051.41,5079.84,5039.83,-0.26
15/04/2024,5149.67,5061.82,5168.43,5052.47,-1.71
12/04/2024,5171.51,5123.41,5175.03,5107.94,-0.93
11/04/2024,5172.95,5199.06,5211.78,5138.77,0.5
10/04/2024,5167.88,5160.64,5178.43,5138.7,-0.14
09/04/2024,5217.03,5209.91,5224.81,5160.78,-0.14
08/04/2024,5211.37,5202.39,5219.57,5197.35,-0.17
05/04/2024,5158.95,5204.34,5222.18,5157.21,0.88
04/04/2024,5244.05,5147.21,5256.59,5146.06,-1.85
03/04/2024,5194.37,5211.49,5228.75,5194.37,0.33
02/04/2024,5204.29,5205.81,5208.34,5184.05,0.03
01/04/2024,5257.97,5243.77,5263.95,5229.2,-0.27
28/03/2024,5248.03,5254.35,5264.85,5245.82,0.12
27/03/2024,5226.31,5248.49,5249.26,5213.92,0.42
26/03/2024,5228.85,5203.58,5235.16,5203.42,-0.48
25/03/2024,5219.52,5218.19,5229.09,5216.09,-0.03
22/03/2024,5242.48,5234.18,5246.09,5229.87,-0.16
21/03/2024,5253.43,5241.53,5261.1,5240.66,-0.23
20/03/2024,5181.69,5224.62,5226.19,5171.55,0.83
19/03/2024,5139.09,5178.51,5180.31,5131.59,0.77
18/03/2024,5154.77,5149.42,5175.6,5145.47,-0.1
15/03/2024,5123.31,5117.09,5136.86,5104.35,-0.12
14/03/2024,5175.14,5150.48,5176.85,5123.3,-0.48
13/03/2024,5173.49,5165.31,5179.14,5151.88,-0.16
12/03/2024,5134.3,5175.27,5179.87,5114.48,0.8
11/03/2024,5111.96,5117.94,5124.66,5091.14,0.12
08/03/2024,5164.46,5123.69,5189.26,5117.5,-0.79
07/03/2024,5132.38,5157.36,5165.62,5128.21,0.49
06/03/2024,5108.03,5104.76,5127.97,5092.22,-0.06
05/03/2024,5110.52,5078.65,5114.54,5056.82,-0.62
04/03/2024,5130.99,5130.95,5149.67,5127.18,0
01/03/2024,5098.51,5137.08,5140.33,5094.16,0.76
29/02/2024,5085.36,5096.27,5104.99,5061.89,0.21
28/02/2024,5067.2,5069.76,5077.37,5058.35,0.05
27/02/2024,5074.6,5078.18,5080.69,5057.29,0.07
26/02/2024,5093,5069.53,5097.66,5068.91,-0.46
23/02/2024,5100.92,5088.8,5111.06,5081.46,-0.24
22/02/2024,5038.83,5087.03,5094.39,5038.83,0.96
21/02/2024,4963.03,4981.8,4983.21,4946,0.38
20/02/2024,4989.32,4975.51,4993.71,4955.02,-0.28
16/02/2024,5031.13,5005.57,5038.7,4999.52,-0.51
15/02/2024,5003.14,5029.73,5032.72,4999.44,0.53
14/02/2024,4976.44,5000.62,5002.52,4956.45,0.49
13/02/2024,4967.94,4953.17,4971.3,4920.31,-0.3
12/02/2024,5026.83,5021.84,5048.39,5016.83,-0.1
09/02/2024,5004.17,5026.61,5030.06,5000.34,0.45
08/02/2024,4995.16,4997.91,5000.4,4987.09,0.06
07/02/2024,4973.05,4995.06,4999.89,4969.05,0.44
06/02/2024,4950.16,4954.23,4957.77,4934.88,0.08
05/02/2024,4957.19,4942.81,4957.19,4918.09,-0.29
02/02/2024,4916.06,4958.61,4975.29,4907.99,0.87
01/02/2024,4861.11,4906.19,4906.97,4853.52,0.93
31/01/2024,4899.19,4845.65,4906.75,4845.15,-1.09
30/01/2024,4925.89,4924.97,4931.09,4916.27,-0.02
29/01/2024,4892.95,4927.93,4929.31,4887.4,0.71
26/01/2024,4888.91,4890.97,4906.69,4881.47,0.04
25/01/2024,4886.66,4894.16,4898.15,4869.34,0.15
24/01/2024,4888.56,4868.55,4903.68,4865.94,-0.41
23/01/2024,4856.8,4864.6,4866.48,4844.37,0.16
22/01/2024,4853.42,4850.43,4868.41,4844.05,-0.06
19/01/2024,4796.28,4839.81,4842.07,4785.87,0.91
18/01/2024,4760.1,4780.94,4785.79,4740.57,0.44
17/01/2024,4739.13,4739.21,4744.23,4714.82,0
16/01/2024,4772.35,4765.98,4782.34,4747.12,-0.13
12/01/2024,4791.18,4783.83,4802.4,4768.98,-0.15
11/01/2024,4792.13,4780.24,4798.5,4739.58,-0.25
10/01/2024,4759.94,4783.45,4790.8,4756.2,0.49
09/01/2024,4741.93,4756.5,4765.47,4730.35,0.31
08/01/2024,4703.7,4763.54,4764.54,4699.82,1.27
05/01/2024,4690.57,4697.24,4721.49,4682.11,0.14
04/01/2024,4697.42,4688.68,4726.78,4687.53,-0.19
03/01/2024,4725.07,4704.81,4729.29,4699.71,-0.43
02/01/2024,4745.2,4742.83,4754.33,4722.67,-0.05
28/12/2023,4786.44,4783.35,4793.3,4780.98,-0.06
27/12/2023,4773.45,4781.58,4785.39,4768.9,0.17
26/12/2023,4758.86,4774.75,4784.72,4758.45,0.33
22/12/2023,4753.92,4754.63,4772.94,4736.77,0.01
21/12/2023,4724.29,4746.75,4748.71,4708.35,0.48
20/12/2023,4764.73,4698.35,4778.01,4697.82,-1.39
19/12/2023,4743.72,4768.37,4768.69,4743.72,0.52
18/12/2023,4725.58,4740.56,4749.52,4725.58,0.32
15/12/2023,4714.23,4719.19,4725.53,4704.69,0.11
14/12/2023,4721.04,4719.55,4738.57,4694.34,-0.03
13/12/2023,4646.2,4707.09,4709.69,4643.23,1.31
12/12/2023,4618.3,4643.7,4643.93,4608.09,0.55
11/12/2023,4593.39,4622.44,4623.71,4593.39,0.63
08/12/2023,4576.2,4604.37,4609.23,4574.06,0.62
07/12/2023,4568.84,4585.59,4590.92,4565.22,0.37
06/12/2023,4586.23,4549.34,4590.74,4546.5,-0.8
05/12/2023,4557.25,4567.18,4578.56,4551.68,0.22
04/12/2023,4564.37,4569.78,4572.37,4546.72,0.12
01/12/2023,4559.43,4594.63,4599.39,4554.71,0.77
30/11/2023,4554.87,4567.8,4569.89,4537.24,0.28
29/11/2023,4571.84,4550.58,4587.64,4547.15,-0.47
28/11/2023,4545.55,4554.89,4568.14,4540.51,0.21
27/11/2023,4554.86,4550.43,4560.52,4546.32,-0.1
24/11/2023,4555.84,4559.34,4560.31,4552.8,0.08
22/11/2023,4553.04,4556.62,4568.43,4545.05,0.08
21/11/2023,4538.77,4538.19,4542.14,4525.51,-0.01
20/11/2023,4511.7,4547.38,4557.11,4510.36,0.79
17/11/2023,4509.55,4514.02,4520.12,4499.66,0.1
16/11/2023,4497.08,4508.24,4511.99,4487.83,0.25
15/11/2023,4505.3,4502.88,4521.17,4495.31,-0.05
14/11/2023,4458.97,4495.7,4508.67,4458.97,0.82
13/11/2023,4406.66,4411.55,4421.76,4393.82,0.11
10/11/2023,4364.15,4415.24,4418.03,4353.34,1.17
09/11/2023,4391.41,4347.35,4393.4,4343.94,-1
08/11/2023,4384.37,4382.78,4391.2,4359.76,-0.04
07/11/2023,4366.21,4378.38,4386.26,4355.41,0.28
06/11/2023,4364.27,4365.98,4372.21,4347.53,0.04
03/11/2023,4334.23,4358.34,4373.62,4334.23,0.56
02/11/2023,4268.26,4317.78,4319.72,4268.26,1.16
01/11/2023,4201.27,4237.86,4245.64,4197.74,0.87
31/10/2023,4171.33,4193.8,4195.55,4153.12,0.54
30/10/2023,4139.39,4166.82,4177.47,4132.94,0.66
27/10/2023,4152.93,4117.37,4156.7,4103.78,-0.86
26/10/2023,4175.99,4137.23,4183.6,4127.9,-0.93
25/10/2023,4232.42,4186.77,4232.42,4181.42,-1.08
24/10/2023,4235.79,4247.68,4259.38,4219.43,0.28
23/10/2023,4210.4,4217.04,4255.84,4189.22,0.16
20/10/2023,4273.85,4224.16,4276.56,4223.03,-1.16
19/10/2023,4321.36,4278,4339.54,4269.69,-1
18/10/2023,4357.35,4314.6,4364.2,4303.84,-0.98
17/10/2023,4345.23,4373.2,4393.57,4337.54,0.64
16/10/2023,4342.37,4373.63,4383.33,4342.37,0.72
13/10/2023,4360.49,4327.78,4377.1,4311.97,-0.75
12/10/2023,4380.94,4349.61,4385.85,4325.43,-0.72
11/10/2023,4366.59,4376.95,4378.64,4345.34,0.24
10/10/2023,4339.75,4358.24,4385.46,4339.64,0.43
09/10/2023,4289.02,4335.66,4341.73,4283.79,1.09
06/10/2023,4234.79,4308.5,4324.1,4219.55,1.74
