Date,M1_Money_Supply,Exchange_Rate,Stock_Index_Close,Inflation
2015-01-02,3009.9,87.77,2058.2,0.0
2015-01-05,2978.6,92.44,2020.58,0.0
2015-01-06,3013.4,91.93,2002.61,0.1
2015-01-07,3034.4,91.52,2025.9,0.2
2015-01-08,3017.6,92.4,2062.14,0.2
2015-01-09,3044.8,93.87,2044.81,0.0
2015-01-12,3104.1,94.62,2028.26,0.7
2016-01-04,3197.7,97.36,2012.66,1.1
2016-01-05,3236.5,95.73,2016.71,1.0
2016-01-06,3242.4,94.5,1990.26,1.0
2016-01-07,3241.7,95.82,1943.09,0.8
2016-01-08,3312.7,96.44,1922.03,1.1
2016-01-11,3354.4,96.61,1923.67,1.7
2016-01-12,3345.1,97.39,1938.68,2.1
2017-01-03,3451.3,101.35,2257.83,2.4
2017-01-04,3450.4,99.84,2270.75,2.2
2017-01-05,3516.2,99.29,2269.0,1.9
2017-01-06,3525.3,98.55,2276.98,1.6
2017-01-09,3570.5,95.47,2268.9,2.2
2017-01-10,3607.8,94.27,2268.9,2.0
2017-01-11,3629.4,93.58,2275.32,2.2
2017-01-12,3613.3,95.04,2270.44,2.1
2018-01-02,3614.4,94.38,2695.81,2.2
2018-01-03,3664.5,92.7,2713.06,2.4
2018-01-04,3656.6,91.69,2723.99,2.5
2018-01-05,3654.0,92.18,2743.15,2.8
2018-01-08,3695.0,96.91,2747.71,2.7
2018-01-09,3702.2,97.16,2751.29,2.3
2018-01-10,3726.1,97.63,2748.23,2.5
2018-01-11,3704.2,97.62,2767.56,2.2
2018-01-12,3764.3,98.16,2786.24,1.9
2019-01-02,3751.2,98.55,2510.03,1.5
2019-01-03,3735.0,97.4,2447.89,1.9
2019-01-04,3779.3,97.11,2531.94,2.0
2019-01-07,3865.0,99.12,2549.69,1.8
2019-01-08,3862.0,98.76,2574.41,1.7
2019-01-09,3901.2,98.38,2584.96,1.7
2019-01-10,3931.6,99.98,2596.64,1.8
2019-01-11,3952.8,100.11,2596.26,2.1
2020-01-02,3979.6,98.12,3257.85,2.3
2020-01-03,4260.9,97.65,3234.85,1.5
2020-01-06,16574.1,104.41,3246.28,0.6
2020-01-07,16774.5,103.91,3237.18,1.0
2020-01-08,16898.8,101.77,3253.05,1.3
2020-01-09,17170.5,101.24,3274.7,1.4
2020-01-10,17365.7,99.94,3265.35,1.2
2021-01-04,18946.2,94.99,3700.65,4.2
2021-01-05,19266.3,96.76,3726.86,5.0
2021-01-06,19327.2,96.82,3748.14,5.4
2021-01-07,19494.0,96.22,3803.79,5.4
2021-01-08,19720.9,97.19,3824.68,5.3
2021-01-11,20246.8,98.68,3799.61,6.8
2021-01-12,20436.2,99.5,3801.19,7.0
2022-01-03,20691.0,100.89,4796.56,8.5
2022-01-04,20708.4,100.82,4793.54,8.3
2022-01-05,20676.3,102.44,4700.58,8.6
2022-01-06,20606.7,103.16,4696.05,9.1
2022-01-07,20540.8,106.18,4677.03,8.5
2022-01-10,20142.1,108.69,4670.29,7.7
2022-01-11,19972.8,111.26,4713.07,7.1
2022-01-12,19765.0,112.99,4726.35,6.5
2023-01-03,18968.9,105.7,3824.14,5.0
2023-01-04,18647.2,106.2,3852.97,4.9
2023-01-05,18596.4,106.83,3808.1,4.0
2023-01-06,18485.8,105.96,3895.08,3.0
2023-01-09,18151.7,106.24,3892.09,3.7
2023-01-10,18070.1,107.71,3919.25,3.2
2023-01-11,18009.0,109.13,3969.61,3.1
2023-01-12,18012.3,110.46,3983.17,3.4
2024-01-02,17935.2,106.66,4742.83,3.2
2024-01-03,17998.2,107.43,4704.81,3.5
2024-01-04,17990.0,108.06,4688.68,3.4
2024-01-05,18036.4,108.39,4697.24,3.3
